@relation AllCandidas_TRAIN_V2

@attribute TGS826 numeric
@attribute TGS2611 numeric
@attribute TGS2603 numeric
@attribute TGS813 numeric
@attribute TGS822 numeric
@attribute TGS2602 numeric
@attribute TGS823 numeric
@attribute culture_day numeric
@attribute class numeric

@data
10080.0,58610.0,12620.0,24620.0,183.5,578.4,1775.0,2,4
76650.0,5784.0,16770.0,32150.0,1751.0,8563.0,7182.0,1,6
40410.0,28480.0,29610.0,23660.0,473.3,1627.0,4891.0,2,4
36760.0,30150.0,28320.0,16380.0,420.6,1433.0,4502.0,2,4
73480.0,11790.0,20760.0,31880.0,1130.0,5655.0,6646.0,1,6
17790.0,58430.0,17820.0,45320.0,237.1,777.8,2544.0,2,4
42720.0,33700.0,28040.0,19950.0,368.5,1206.0,4217.0,1,1
31500.0,40740.0,23650.0,25010.0,383.6,1292.0,3751.0,2,3
15570.0,51370.0,16850.0,28870.0,266.5,942.3,2582.0,2,3
37870.0,30260.0,28540.0,17170.0,429.2,1468.0,4572.0,2,4
82560.0,7446.0,14780.0,44030.0,1698.0,10020.0,7229.0,1,6
21660.0,50950.0,19910.0,26900.0,257.1,821.9,2828.0,2,4
19950.0,51870.0,18120.0,32200.0,284.8,935.6,2726.0,2,3
35430.0,30100.0,27910.0,15080.0,405.4,1364.0,4374.0,2,4
34800.0,31290.0,26290.0,15800.0,434.7,1502.0,4305.0,2,2
23980.0,54000.0,18540.0,29530.0,250.0,719.5,2569.0,1,5
15500.0,54000.0,15160.0,21350.0,229.5,682.1,2152.0,2,2
15130.0,49310.0,17780.0,33070.0,258.3,959.1,2707.0,2,3
91130.0,7277.0,6026.0,48880.0,3008.0,25170.0,7908.0,2,6
49220.0,22230.0,28240.0,26180.0,658.6,2532.0,5626.0,2,3
41090.0,38550.0,24120.0,34350.0,450.6,1732.0,4242.0,2,5
25570.0,47320.0,21590.0,33720.0,335.5,1132.0,3332.0,2,3
15280.0,60070.0,14450.0,34560.0,215.5,653.4,2044.0,1,5
42270.0,29170.0,29980.0,29770.0,490.6,1754.0,5081.0,2,4
82780.0,7411.0,14960.0,42220.0,1696.0,9859.0,7217.0,1,6
9220.0,53300.0,13440.0,27900.0,184.1,781.0,2043.0,2,4
14800.0,57200.0,14570.0,30520.0,206.2,677.7,2079.0,1,5
41030.0,30070.0,27200.0,19200.0,477.6,1589.0,4524.0,2,3
69000.0,13480.0,25790.0,34350.0,1013.0,4292.0,6724.0,2,3
36650.0,41460.0,24060.0,32110.0,408.4,1461.0,3971.0,2,5
35040.0,30880.0,27690.0,16170.0,343.2,1131.0,4091.0,1,2
33370.0,30330.0,27210.0,14360.0,342.6,1106.0,4005.0,1,2
57080.0,18000.0,26720.0,28440.0,793.6,3409.0,6176.0,2,3
23470.0,47310.0,20630.0,22040.0,269.5,864.7,2953.0,2,4
36330.0,42610.0,23690.0,35750.0,401.8,1446.0,3908.0,2,5
50210.0,21990.0,28280.0,26910.0,666.9,2575.0,5676.0,2,3
92510.0,7305.0,6014.0,70150.0,3287.0,26450.0,7717.0,1,6
40250.0,29830.0,28500.0,19570.0,433.4,1509.0,4607.0,2,1
74330.0,10250.0,19940.0,30890.0,1261.0,6144.0,6759.0,1,6
